ダウンロード実行日,2017年08月21日現在,件数,9742件,,,,,,,,
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
E01596,内国法人・組合,上場,有,18044,12月31日,ＪＵＫＩ株式会社,JUKI CORPORATION,ジューキカブシキガイシャ,多摩市鶴牧二丁目１１番地１,機械,64400
E20022,外国法人・組合（有価証券報告書等の提出義務者以外）,,,17353,,ジェー・ピー・モルガン・ジーティー・コーポレーション,,ジェーピーモルガンジーティーコーポレーション,アメリカ合衆国　ニューヨーク州、ニューヨーク、パーク・アベニュー２７０,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20037,外国法人・組合（有価証券報告書等の提出義務者以外）,,,923648,,モルガン・スタンレー・アンド・カンパニー・インターナショナル・ピーエルシー,,モルガン　スタンレー　アンド　カンパニー　インターナショナル　ピーエルシー,英国　ロンドン　カナリーワーフ　２５　カボットスクエア　Ｅ１４　４ＱＡ,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20061,個人（組合発行者を除く）,,,,,丸森　京子,,マルモリ　キョウコ,,個人（組合発行者を除く）,
E20075,外国法人・組合（有価証券報告書等の提出義務者以外）,,,5,,エスエスエフ　スリー　アジア　ホールディング　リミテッド,,エスエスエフ　スリー　アジア　ホールディング　リミテッド,ケイマン諸島　グランドケイマンＫＹ１－９００７　カマナベイ　８９ネクサスウェイ　オジェ・フィデューシャリー・サービセズ（ケイマン）リミテッド方,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20082,外国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,ゴールドマン・サックス・アンド・カンパニー・エルエルシー,,ゴールドマンサックスアンドカンパニーエルエルシー,２００　Ｗｅｓｔ　Ｓｔｒｅｅｔ，Ｎｅｗ　Ｙｏｒｋ，Ｎｅｗ　Ｙｏｒｋ１０２８２，Ｕ．Ｓ．Ａ．,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20088,外国法人・組合（有価証券報告書等の提出義務者以外）,,,17841,,モルガン・スタンレー・インベストメント・マネジメント・リミテッド　（Ｍｏｒｇａｎ　Ｓｔａｎｌｅｙ　Ｉｎｖｅｓｔｍｅｎｔ　Ｍａｎａｇｅｍｅｎｔ　Ｌｉｍｉｔｅｄ）,,モルガンスタンレーインベストメントマネジメントリミテッド,２５　Ｃａｂｏｔ　Ｓｑｕａｒｅ　Ｃａｎａｒｙ　Ｗｈａｒｆ　Ｌｏｎｄｏｎ　Ｅ１４　４ＱＡ　Ｕ．Ｋ．,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20152,外国法人・組合（有価証券報告書等の提出義務者以外）,,,556,,アルタバ　インク,,アルタバ　インク,アメリカ合衆国１００１７、ニューヨーク州ニューヨーク、イースト４５ストリート１４０、１５階,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20153,外国法人・組合（有価証券報告書等の提出義務者以外）,,,7236,,オーバーチュール　サーチ　サービス　ホールドコ　アイルランドリミテッド,,オーバーチュール　サーチ　サービス　ホールドコ　アイルランドリミテッド,ケイマン諸島ＫＹ１－９００５、グランド・ケイマン、ジョージタウン、エルギン・アベニュー１９０、インタートラスト・コーポレート・サービシーズ（ケイマン）リミテッド気付,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20167,個人（組合発行者を除く）,,,,,原　和彦,,ハラ　カズヒコ,,個人（組合発行者を除く）,
E01597,内国法人・組合,上場,有,9839,3月31日,日本ピストンリング株式会社,"Nippon Piston Ring Co.,Ltd.",ニッポンピストンリングカブシキガイシャ,さいたま市中央区本町東五丁目１２番１０号,機械,64610
E01598,内国法人・組合,上場,有,8573,3月31日,株式会社リケン,RIKEN CORPORATION,カブシキガイシャリケン,千代田区九段北一丁目１３番５号,機械,64620
E01599,内国法人・組合,上場,有,4683,3月31日,ＴＰＲ株式会社,"TPR CO .,LTD.",ティーピーアールカブシキガイシャ,千代田区丸の内一丁目６番２号　新丸の内センタービル,機械,64630
E01600,内国法人・組合,上場,有,67176,3月31日,日本精工株式会社,NSK Ltd.,ニッポンセイコウカブシキガイシャ,品川区大崎１－６－３,機械,64710
E20311,外国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,ブラックロック・アドバイザーズ・エルエルシー,,ブラックロックアドバイザーズエルエルシー,米国　デラウェア州　ニュー・キャッスル郡　ウィルミントン　オレンジ・ストリート　１２０９　ザ・コーポレーション・トラスト・カンパニー気付　（郵便番号　１９８０１）,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20326,個人（組合発行者を除く）,,,,,小池　陽子,,コイケ　ヨウコ,,個人（組合発行者を除く）,
E01601,内国法人・組合,上場,有,54346,3月31日,ＮＴＮ株式会社,NTN CORPORATION,エヌティエヌカブシキガイシャ,大阪市西区京町堀１丁目３番１７号,機械,64720
E01602,内国法人・組合,上場,有,45591,3月31日,株式会社ジェイテクト,JTEKT Corporation,カブシキガイシャジェイテクト,大阪市中央区南船場三丁目５番８号,機械,64730
E01603,内国法人・組合,上場,有,16074,11月30日,株式会社不二越,NACHI-FUJIKOSHI CORP.,カブシキガイシャフジコシ,富山市不二越本町一丁目１番１号,機械,64740
E01606,内国法人・組合,非上場,有,660,3月31日,旭精工株式会社,,アサヒセイコウカブシキガイシャ,堺市西区鳳東町６丁５７０番地１,機械,
E01608,内国法人・組合,上場,有,2317,3月31日,ダイベア株式会社,"DAIBEA  CO.,  LTD.",ダイベアカブシキガイシャ,和泉市あゆみ野２丁目８番１号,機械,64780
E01609,内国法人・組合,上場,有,1286,11月30日,岡野バルブ製造株式会社,okano valve mfg.co.ltd.,オカノバルブセイゾウカブシキガイシャ,北九州市門司区中町１番１４号,機械,64920
E01610,内国法人・組合,上場,有,3115,3月31日,酒井重工業株式会社,"SAKAI HEAVY INDUSTRIES,LTD.",サカイジュウコウギョウカブシキガイシャ,港区芝大門１丁目４番８号,機械,63580
E01612,内国法人・組合,上場,有,4109,3月31日,油研工業株式会社,"YUKEN KOGYO CO., LTD.",ユケンコウギョウカブシキガイシャ,綾瀬市上土棚中四丁目４番３４号,機械,63930
E20532,個人（組合発行者を除く）,,,,,山本　百合子,,ヤマモト　ユリコ,,個人（組合発行者を除く）,
E20538,外国法人・組合（有価証券報告書等の提出義務者以外）,,,5980,,ノーブル・アペックス・アドバイザーズ・リミテッド,,ノーブルアペックスアドバイザーズリミテッド,香港、コーズウェイ・ベイ、グロスター通り２５５、シノ・プラザ、１９０１号室,外国法人・組合（有価証券報告書等の提出義務者以外）,
E01613,内国法人・組合,上場,有,13021,3月31日,株式会社タダノ,TADANO LTD.,カブシキガイシャタダノ,高松市新田町甲３４番地,機械,63950
E20601,個人（組合発行者を除く）,,,,,松木　教子,,マツキ　ミチコ,,個人（組合発行者を除く）,
E01614,内国法人・組合,非上場,無,2334,3月31日,株式会社東洋製作所,"TOYO ENGINEERING WORKS,LTD.",カブシキガイシャトウヨウセイサクショ,大和市下鶴間１６３４番地,機械,64430
E20615,外国法人・組合（有価証券報告書等の提出義務者以外）,,,4168,,ディジコ　ホールディングス　リミテッド,,ディジコ　ホールディングス　リミテッド,香港　カウルーン　ツィム　シャ　ツイ　３サリスバリー　ロード　スター　ハウス,外国法人・組合（有価証券報告書等の提出義務者以外）,
E01615,内国法人・組合,上場,有,717,3月31日,株式会社郷鉄工所,"Go Iron Works Co.,Ltd.",カブシキガイシャゴウテッコウショ,不破郡垂井町表佐字大持野５８番地の２,機械,63970
E01617,内国法人・組合,上場,無,1350,3月31日,株式会社タカキタ,"TAKAKITA CO.,LTD.",カブシキガイシャタカキタ,名張市夏見２８２８番地,機械,63250
E20625,個人（組合発行者を除く）,,,,,大塚　勝久,,オオツカ　カツヒサ,,個人（組合発行者を除く）,
E01618,内国法人・組合,非上場,有,948,3月31日,三井精機工業株式会社,"MITSUI SEIKI KOGYO CO., LTD.",ミツイセイキコウギョウカブシキガイシャ,台東区柳橋１丁目１１番１１号,機械,
E01620,内国法人・組合,上場,有,2077,3月31日,フリージア・マクロス株式会社,FREESIA MACROSS CORPORATION,フリージアマクロスカブシキカイシャ,千代田区神田東松下町１７番地,機械,63430
E01622,内国法人・組合,上場,有,12533,3月31日,フジテック株式会社,"FUJITEC CO.,LTD.",フジテックカブシキガイシャ,彦根市宮田町５９１－１,機械,64060
E01624,内国法人・組合,上場,無,1993, 3月末日,株式会社宮入バルブ製作所,"MIYAIRI VALVE MFG.CO., LTD.",カブシキガイシャミヤイリバルブセイサクショ,中央区銀座西一丁目２番地,機械,64950
E01627,内国法人・組合,上場,有,1311,3月31日,トリニティ工業株式会社,TRINITY INDUSTRIAL CORPORATION,トリニティコウギョウカブシキガイシャ,豊田市柿本町１丁目９番地,機械,63820
E20677,個人（組合発行者を除く）,,,,,池永　重彦,,イケナガ　シゲヒコ,,個人（組合発行者を除く）,
E01628,内国法人・組合,上場,無,1003,3月31日,株式会社テクノスマート,Techno Smart Corp.,カブシキガイシャテクノスマート,大阪市中央区久太郎町２丁目５番２８号,機械,62460
E20685,個人（組合発行者を除く）,,,,,中村　和男,,ナカムラ　カズオ,,個人（組合発行者を除く）,
E20703,外国法人・組合（有価証券報告書等の提出義務者以外）,,,10,,Ｓ＆Ｒ　Ｔｅｃｈｎｏｌｏｇｙ　Ｈｏｌｄｉｎｇｓ，ＬＬＣ,,エスアンドアール　テクノロジー　ホールディングス　エルエルシー,７５０１　Ｗｉｓｃｏｎｓｉｎ　Ａｖｅｎｕｅ，　Ｓｕｉｔｅ　６００Ｅ，　Ｂｅｔｈｅｓｄａ，　ＭＤ　２０８１４　ＵＳＡ,外国法人・組合（有価証券報告書等の提出義務者以外）,
E20706,個人（組合発行者を除く）,,,,,岨野　俊雄,,ソノ　トシオ,,個人（組合発行者を除く）,
E01629,内国法人・組合,上場,無,660,3月31日,キクカワエンタープライズ株式会社,"KIKUKAWA ENTERPRISE,INC.",キクカワエンタープライズカブシキガイシャ,伊勢市朝熊町３４７７番地３６,機械,63460
E01631,内国法人・組合,上場,有,9533,3月31日,日本トムソン株式会社,"NIPPON  THOMPSON CO., LTD.",ニッポントムソンカブシキガイシャ,港区高輪二丁目１９番１９号,機械,64800
E01632,内国法人・組合,上場,有,3251,3月31日,三精テクノロジーズ株式会社,"Sansei Technologies,Inc.",サンセイテクノロジーズカブシキカイシャ,大阪市淀川区宮原４丁目３番２９号,機械,63570
E01634,内国法人・組合,上場,有,3976,3月31日,株式会社キトー,KITO CORPORATION,カブシキガイシャキトー,中巨摩郡昭和町築地新居２０００番地,機械,64090
E01635,内国法人・組合,上場,無,785,3月31日,株式会社宇野澤組鐵工所,"Unozawa-gumi Iron Works,Limited",カブシキガイシャウノザワグミテッコウジョ,渋谷区恵比寿１－１９－１５,機械,63960
E20767,個人（組合発行者を除く）,,,,,八幡　欣也,,ヤハタ　ヨシヤ,,個人（組合発行者を除く）,
E20775,個人（組合発行者を除く）,,,,,本多　均,,ホンダ　ヒトシ,,個人（組合発行者を除く）,
E01636,内国法人・組合,上場,有,1592,3月31日,株式会社酉島製作所,"Torishima Pump Mfg.Co.,Ltd.",カブシキガイシャトリシマセイサクショ,高槻市宮田町一丁目１番８号,機械,63630
E20817,外国法人・組合（有価証券報告書等の提出義務者以外）,,,18048,,ティー・ロウ・プライス・インターナショナル・リミテッド,,ティーロウプライスインターナショナルリミテッド,英国ロンドン市イーシー４エヌ４ティーゼット、クイーン・ヴィクトリア・ストリート６０,外国法人・組合（有価証券報告書等の提出義務者以外）,
E01641,内国法人・組合,上場,有,3475,3月31日,株式会社ニッセイ,NISSEI CORPORATION,カブシキガイシャニッセイ,安城市和泉町井ノ上１番地１,機械,62710
E20827,個人（組合発行者を除く）,,,,,飯田　永太,,イイダ　エイタ,,個人（組合発行者を除く）,
E01642,内国法人・組合,上場,有,8585,3月31日,オイレス工業株式会社,OILES CORPORATION,オイレスコウギョウカブシキガイシャ,港区港南一丁目２番７０号,機械,62820
E01643,内国法人・組合,上場,有,4150,3月31日,株式会社日阪製作所,"HISAKA WORKS,LTD.",カブシキガイシャヒサカセイサクショ,大阪市北区曾根崎二丁目１２番７号,機械,62470
E01645,内国法人・組合,上場,有,4966,3月31日,日本ピラー工業株式会社,"NIPPON PILLAR PACKING CO.,LTD.",ニッポンピラーコウギョウカブシキガイシャ,大阪市西区新町一丁目７番１号,機械,64900
E01646,内国法人・組合,上場,有,1947,3月31日,水道機工株式会社,"SUIDO KIKO KAISHA,LTD",スイドウキコウカブシキガイシャ,世田谷区桜丘五丁目４８番１６号,機械,64030
E01647,内国法人・組合,上場,有,1858,3月31日,小倉クラッチ株式会社,"OGURA CLUTCH CO.,LTD.",オグラクラッチカブシキガイシャ,桐生市相生町二丁目６７８番地,機械,64080
E20965,個人（組合発行者を除く）,,,,,細貝米子,,ホソカイ　ヨネコ,,個人（組合発行者を除く）,
E20977,個人（組合発行者を除く）,,,,,野城　剛,,ノシロ　ツヨシ,,個人（組合発行者を除く）,
E20989,外国法人・組合,非上場,無,147,3月31日,トヨタ　モーター　ファイナンス　（ネザーランズ）　ビーブイ,,トヨタモーターファイナンスネザーランズビーブイ,オランダ王国　１０７７　ＸＶ　アムステルダム市　ザイドプライン　９０、ワールド・トレード・センター・アムステルダム　タワーＨ　レベル１０,外国法人・組合,
E01648,内国法人・組合,上場,有,7090,3月31日,株式会社ＮＦＫホールディングス,"NFK HOLDINGS CO.,LTD.",カブシキガイシャエヌエフケーホールディングス,横浜市鶴見区尻手２丁目１番５３号,機械,64940
E01649,内国法人・組合,上場,無,1150,5月31日,株式会社中北製作所,"NAKAKITA SEISAKUSHO CO.,LTD.",カブシキガイシャナカキタセイサクショ,大東市深野南町１番１号,機械,64960
E20997,個人（組合発行者を除く）,,,,,勝方　正英,,カツカタ　マサヒデ,,個人（組合発行者を除く）,
E01650,内国法人・組合,上場,有,12892,3月31日,グローリー株式会社,GLORY LTD.,グローリーカブシキガイシャ,姫路市下手野一丁目３番１号,機械,64570
E21045,個人（組合発行者を除く）,,,,,横井　昭裕,,ヨコイ　アキヒロ,,個人（組合発行者を除く）,
E21048,外国法人・組合（有価証券報告書等の提出義務者以外）,,,150,,ＮＤＣ　ＩＮＶＥＳＴＭＥＮＴ　ＰＴＥ　ＬＴＤ,,エヌディーシー　インベストメント,２４　ＲＡＦＦＬＥＳ　ＰＬＡＣＥ、＃２５－０４、ＣＬＩＦＦＯＲＤ　ＣＥＮＴＲＥ、ＳＩＮＧＡＰＯＲＥ,外国法人・組合（有価証券報告書等の提出義務者以外）,
E21054,外国法人・組合（有価証券報告書等の提出義務者以外）,,,118,,スカゲン・エーエス,,スカゲンエーエス,ノルウェー王国、スタヴァンゲル４００１、スカゲン３,外国法人・組合（有価証券報告書等の提出義務者以外）,
E21079,個人（組合発行者を除く）,,,,,平原　宏一,,ヒラハラ　コウイチ,,個人（組合発行者を除く）,
E01651,内国法人・組合,上場,無,1332,3月31日,株式会社プラコー,"PLACO CO.,LTD.",カブシキガイシャプラコー,さいたま市岩槻区笹久保新田５５０番地,機械,63470
E01652,内国法人・組合,上場,有,395,12月31日,株式会社ハマイ,HAMAI INDUSTRIES LTD.,カブシキガイシャ　ハマイ,品川区西五反田七丁目７番７号ＳＧスクエア２階,機械,64970
E21108,個人（組合発行者を除く）,,,,,池田昌史,,イケダマサシ,,個人（組合発行者を除く）,
E01654,内国法人・組合,上場,有,7993,12月31日,ホシザキ株式会社,HOSHIZAKI CORPORATION,ホシザキカブシキガイシャ,豊明市栄町南館３番の１６,機械,64650
E01657,内国法人・組合,上場,有,10425,3月31日,株式会社アイチコーポレーション,AICHI CORPORATION,カブシキガイシャアイチコーポレーション,上尾市領家１１５２,機械,63450
E01658,内国法人・組合,上場,有,3160,3月31日,株式会社前田製作所,"MAEDA SEISAKUSHO CO., LTD.",カブシキガイシャマエダセイサクショ,長野市篠ノ井御幣川１０９５番地,機械,62810
E01660,内国法人・組合,上場,有,21207,3月31日,株式会社キッツ,KITZ CORPORATION,カブシキガイシャキッツ,千葉市美浜区中瀬１丁目１０番１,機械,64980
E01662,内国法人・組合,上場,有,5188,3月31日,株式会社鶴見製作所,"TSURUMI MANUFACTURING CO.,LTD.",カブシキガイシャツルミセイサクショ,大阪市鶴見区鶴見４丁目１６番４０号,機械,63510
E21149,個人（組合発行者を除く）,,,,,冨澤　昌宏,,トミザワ　マサヒロ,,個人（組合発行者を除く）,
E01663,内国法人・組合,上場,有,3416,3月31日,北越工業株式会社,"HOKUETSU INDUSTRIES CO., LTD.",ホクエツコウギョウカブシキガイシャ,燕市下粟生津３０７４番地,機械,63640
E21176,外国法人・組合（有価証券報告書等の提出義務者以外）,,,389,,ＢＮＰパリバ・アセットマネジメント・ルクセンブルク,,ビーエヌピーパリバアセットマネジメントルクセンブルク,ルクセンブルク大公国、ルクセンブルクＬ－２５４０、エドワード・スタイケン通り１０番,外国法人・組合（有価証券報告書等の提出義務者以外）,
E01666,内国法人・組合,上場,有,11392,6月30日,澁谷工業株式会社,SHIBUYA CORPORATION,シブヤコウギョウカブシキガイシャ,金沢市大豆田本町甲５８番地,機械,63400
E21186,個人（組合発行者を除く）,,,,,本田　忠,,ホンダ　タダシ,,個人（組合発行者を除く）,
E01667,内国法人・組合,上場,有,37714,3月31日,株式会社小森コーポレーション,KOMORI  CORPORATION,カブシキガイシャコモリコーポレーション,墨田区吾妻橋３丁目１１番１号,機械,63490
E21199,個人（組合発行者を除く）,,,,,舘本　篤志,,タチモト　アツシ,,個人（組合発行者を除く）,
E01669,内国法人・組合,上場,有,5822,3月31日,新晃工業株式会社,SINKO INDUSTRIES LTD.,シンコウコウギョウカブシキガイシャ,大阪市北区南森町一丁目４番５号,機械,64580
E21204,個人（組合発行者を除く）,,,,,中川　博司,,ナカガワ　ヒロシ,,個人（組合発行者を除く）,
E01670,内国法人・組合,上場,有,7351,3月31日,レオン自動機株式会社,"RHEON AUTOMATIC MACHINERY CO., LTD.",レオンジドウキカブシキガイシャ,宇都宮市野沢町２番地３,機械,62720
E21213,外国法人・組合,非上場,無,180000,12月31日,ヴイエムウェア・インク,,ヴイエムウェアインク,米国９４３０４カリフォルニア州パロアルト、ヒルビュー・アベニュー３４０１,外国法人・組合,
E01671,内国法人・組合,上場,有,822,12月31日,中野冷機株式会社,"nakano refrigerators co.,ltd.",ナカノレイキカブシキガイシャ,港区芝浦二丁目１５番４号,機械,64110
E21220,個人（組合発行者を除く）,,,,,阿部　溢子,,アベ　イツコ,,個人（組合発行者を除く）,
E01672,内国法人・組合,上場,有,5233,5月31日,前澤工業株式会社,"Maezawa Industries,Inc.",マエザワコウギョウカブシキガイシャ,中央区新川一丁目５番１７号,機械,64890
E21239,外国法人・組合（有価証券報告書等の提出義務者以外）,,,410,,クープランド・カーディフ・アセット・マネジメント・エルエルピー,,クープランドカーディフアセットマネジメントエルエルピー,ロンドン　セント・ジェームスズ・ストリート　３１―３２,外国法人・組合（有価証券報告書等の提出義務者以外）,
E21241,個人（組合発行者を除く）,,,,,川本　重喜,,カワモト　シゲキ,,個人（組合発行者を除く）,
E01673,内国法人・組合,上場,有,61005,3月31日,ＳＭＣ株式会社,SMC CORPORATION,エスエムシーカブシキガイシャ,千代田区外神田四丁目１４番１号,機械,62730
E01675,内国法人・組合,上場,有,1075,3月31日,ナビタス株式会社,"NAVITAS CO., LTD.",ナビタスカブシキガイシャ,堺市堺区石津北町９－１,機械,62760
E01676,内国法人・組合,上場,有,14496,9月30日,ホソカワミクロン株式会社,HOSOKAWA  MICRON  CORPORATION,ホソカワミクロンカブシキガイシャ,枚方市招提田近１丁目９番地,機械,62770
E01677,内国法人・組合,上場,有,1888,2月20日,株式会社瑞光,ZUIKO CORPORATION,カブシキガイシャズイコウ,摂津市南別府町１５番２１号,機械,62790
E21269,個人（組合発行者を除く）,,,,,塚本　勲,,ツカモト　イサオ,,個人（組合発行者を除く）,
E01678,内国法人・組合,上場,有,34606,3月31日,ＴＨＫ株式会社,"THK CO., LTD.",テイエチケーカブシキガイシャ,品川区西五反田３－１１－６,機械,64810
E21288,外国法人・組合（有価証券報告書等の提出義務者以外）,,,439,,ヘンダーソン・グローバル・インベスターズ・リミテッド,,ヘンダーソングローバルインベスターズリミテッド,英国、ＥＣ２Ｍ　３ＡＥ、ロンドン、ビショップスゲイト２０１,外国法人・組合（有価証券報告書等の提出義務者以外）,
E21289,外国法人・組合（有価証券報告書等の提出義務者以外）,,,42,,アルファジェン・キャピタル・リミテッド,,アルファジェンキャピタルリミテッド,英国、ＥＣ２Ｍ　３ＡＥ、ロンドン、ビショップスゲイト２０１,外国法人・組合（有価証券報告書等の提出義務者以外）,
E21290,個人（組合発行者を除く）,,,,,関家　圭三,,セキヤ　ケイゾウ,,個人（組合発行者を除く）,
E01679,内国法人・組合,上場,有,2687,3月31日,株式会社名機製作所,"Meiki Co.,Ltd.",カブシキガイシャ　メイキセイサクショ,大府市北崎町大根２番地,機械,62800
E01681,内国法人・組合,上場,無,1460,3月31日,川重冷熱工業株式会社,"KAWASAKI THERMAL ENGINEERING CO.,LTD.",カワジュウレイネツコウギョウカブシキガイシャ,草津市青地町１０００番地,機械,64140
E21324,個人（組合発行者を除く）,,,,,林　徳亮,,ハヤシ　ナルヨシ,,個人（組合発行者を除く）,
E01682,内国法人・組合,上場,有,3860,9月30日,日精エー・エス・ビー機械株式会社,"NISSEI ASB MACHINE CO., LTD.",ニッセイエーエスビーキカイカブシキガイシャ,小諸市甲４５８６番地３,機械,62840
E21337,個人（組合発行者を除く）,,,,,谷間　真,,タニマ　マコト,,個人（組合発行者を除く）,
E01683,内国法人・組合,上場,有,1908,3月31日,株式会社ヨシタケ,Yoshitake Inc.,カブシキガイシャヨシタケ,名古屋市瑞穂区二野町７番３号,機械,64880
E01684,内国法人・組合,上場,有,100,3月31日,靜甲株式会社,SEIKO CORPORATION,セイコウカブシキガイシャ,静岡市清水区天神二丁目８番１号,機械,62860
E01685,内国法人・組合,上場,有,8468,3月31日,サトーホールディングス株式会社,SATO HOLDINGS CORPORATION,サトーホールディングス　カブシキガイシャ,目黒区下目黒一丁目７番１号,機械,62870
E01690,内国法人・組合,上場,有,5844,8月31日,株式会社技研製作所,GIKEN LTD.,カブシキガイシャ　ギケンセイサクショ,高知市布師田３９４８番地１,機械,62890
E01692,内国法人・組合,上場,有,1250,12月31日,株式会社小田原エンジニアリング,"ODAWARA ENGINEERING CO.,LTD.",カブシキガイシャオダワラエンジニアリング,足柄上郡松田町松田惣領１５７７番地,機械,61490
E01693,内国法人・組合,上場,有,3358,3月31日,前澤給装工業株式会社,"MAEZAWA KYUSO INDUSTRIES CO.,LTD.",マエザワキュウソウコウギョウカブシキガイシャ,目黒区鷹番二丁目１４番４号,機械,64850
E01694,内国法人・組合,上場,有,977,3月31日,株式会社カワタ,"KAWATA MFG. CO., LTD.",カブシキガイシャカワタ,大阪市西区阿波座１丁目１５番１５号（第一協業ビル）,機械,62920
E01695,内国法人・組合,上場,有,5362,3月31日,日精樹脂工業株式会社,"NISSEI PLASTIC INDUSTRIAL CO.,LTD.",ニッセイジュシコウギョウカブシキガイシャ,埴科郡坂城町大字南条２１１０番地,機械,62930
E21414,外国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,ワールド・ゴールド・トラスト・サービシズ・エルエルシー,,ワールドゴールドトラストサービシズエルエルシー,ニューヨーク州　１００１７　ニューヨーク郡　サード　アヴェニュー　６８５　２７０２号室（２７階）,外国法人・組合（有価証券報告書等の提出義務者以外）,
E21417,個人（組合発行者を除く）,,,,,柳田　康友,,ヤナギタ　ヤストモ,,個人（組合発行者を除く）,
E01696,内国法人・組合,上場,有,1049,3月31日,オカダアイヨン株式会社,OKADA AIYON CORPORATION,オカダアイヨンカブシキガイシャ,大阪市港区海岸通４丁目１番１８号,機械,62940
E21459,個人（組合発行者を除く）,,,,,梨子本　紘,,ナシモト　ヒロシ,,個人（組合発行者を除く）,
E21461,外国法人・組合（有価証券報告書等の提出義務者以外）,,,0,,アジア・ランド・リミテッド,,アジア　ランド　リミテッド,英領西インド　ケイマン諸島　グランドケイマン　ＫＹ１‐１１１２　クリケットスクエア　ウィローハウス４Ｆ　私書箱２８０４,外国法人・組合（有価証券報告書等の提出義務者以外）,
E21467,個人（組合発行者を除く）,,,,,梶並　伸博,,カジナミ　ノブヒロ,,個人（組合発行者を除く）,
E01697,内国法人・組合,上場,無,2507,12月31日,富士変速機株式会社,"FUJI HENSOKUKI CO.,LTD.",フジヘンソクキカブシキガイシャ,岐阜市中洲町１８番地,機械,62950
E21490,個人（組合発行者を除く）,,,,,石田　卓巳,,イシダ　タクミ,,個人（組合発行者を除く）,
E21497,個人（組合発行者を除く）,,,,,渡邉　哲男,,ワタナベ　テツオ,,個人（組合発行者を除く）,
E21501,外国法人・組合,非上場,有,23040311,1月31日,ウォルマート・ストアーズ・インク,,ウォルマート　ストアーズ　インク,アメリカ合衆国、デラウェア州、ニューカッスル郡、ウイルミントン市、オレンジ・ストリート１２０９番地、コーポレーション・トラスト・センター,外国法人・組合,
E21510,外国法人・組合（有価証券報告書等の提出義務者以外）,,,75,,イーストスプリング・インベストメンツ（シンガポール）リミテッド,,イーストスプリング　インベストメンツ　シンガポール　リミテッド,シンガポール共和国マリーナ・ブルバード１０、＃３２－１０、マリーナ・ベイ・フィナンシャルセンター・タワー２,外国法人・組合（有価証券報告書等の提出義務者以外）,
E21512,個人（組合発行者を除く）,,,,,大松　道子,,オオマツ　ミチコ,,個人（組合発行者を除く）,
E01698,内国法人・組合,上場,有,2216,3月31日,日本金銭機械株式会社,"Japan Cash Machine co.,ltd.",ニホンキンセンキカイカブシキガイシャ,大阪市平野区西脇二丁目３番１５号,機械,64180
E21515,個人（組合発行者を除く）,,,,,太田　明弘,,オオタ　アキヒロ,,個人（組合発行者を除く）,
E01699,内国法人・組合,上場,有,1165,3月31日,鉱研工業株式会社,"KOKEN BORING MACHINE CO., LTD.",コウケンコウギョウカブシキガイシャ,豊島区高田２－１７－２２目白中野ビル１階,機械,62970
E21530,個人（組合発行者を除く）,,,,,谷村　外志男,,タニムラ　トシオ,,個人（組合発行者を除く）,
E01700,内国法人・組合,上場,有,6020,3月31日,株式会社神鋼環境ソリューション,"Kobelco Eco-Solutions Co., Ltd.",カブシキガイシャシンコウカンキョウソリューション,神戸市中央区脇浜町１丁目４番７８号,機械,62990
E21561,個人（組合発行者を除く）,,,,,上村　寛也,,ウエムラ　ヒロヤ,,個人（組合発行者を除く）,
E21567,個人（組合発行者を除く）,,,,,加賀谷　愼二,,カガヤ　シンジ,,個人（組合発行者を除く）,
E21578,個人（非居住者）（組合発行者を除く）,,,,,橋本　雅治,,ハシモト　マサハル,,個人（非居住者）（組合発行者を除く）,
E01701,内国法人・組合,上場,有,5837,3月31日,アピックヤマダ株式会社,APIC YAMADA CORPORATION,アピックヤマダカブシキガイシャ,千曲市大字上徳間９０番地,機械,63000
E21591,外国法人・組合,非上場,有,48465,9月26日,ＴＥコネクティビティ・リミテッド　（ＴＥ　ＣＯＮＮＥＣＴＩＶＩＴＹ　ＬＴＤ．）,,ティーイー　コネクティビティ　リミテッド,スイス　ＣＨ‐８２００　シャフハウゼン　ラインシュトラーセ　２０　（Ｒｈｅｉｎｓｔｒａｓｓｅ　２０，ＣＨ‐８２００　Ｓｃｈａｆｆｈａｕｓｅｎ，Ｓｗｉｔｚｅｒｌａｎｄ）,外国法人・組合,
E01703,内国法人・組合,上場,有,2220,3月31日,株式会社ササクラ,"Sasakura Engineering Co.,Ltd.",カブシキガイシャササクラ,大阪市西淀川区御幣島６丁目７番５号,機械,63030
E01704,内国法人・組合,上場,有,890,3月31日,サンセイ株式会社,"SANSEI CO.,LTD.",サンセイカブシキガイシャ,大阪市淀川区西宮原一丁目６番２号,機械,63070
