ダウンロード実行日,2017年08月21日現在,件数,9742件,,,,,,,,
ＥＤＩＮＥＴコード,提出者種別,上場区分,連結の有無,資本金,決算日,提出者名,提出者名（英字）,提出者名（ヨミ）,所在地,提出者業種,証券コード
E04189,内国法人・組合,非上場,有,800,6月30日,株式会社ニヤクコーポレーション,NIYAC CORPORATION,カブシキガイシャニヤクコーポレーション,江東区冬木１４番５号,陸運業,
E04190,内国法人・組合,非上場,有,350,3月31日,東海自動車株式会社,TOKAIJIDOSHA,トウカイジドウシャカブシキガイシャ,伊東市渚町２番２８号,陸運業,
E04191,内国法人・組合,上場,有,11316,3月31日,ニッコンホールディングス株式会社,"NIKKON Holdings Co.,Ltd.",ニッコンホールディングスカブシキガイシヤ,中央区明石町６番１７号,陸運業,90720
E04192,内国法人・組合,非上場,有,81,4月30日,新潟運輸株式会社,"Niigata Unyu Co.,Ltd.",ニイガタウンユカブシキガイシャ,新潟市中央区女池北一丁目１番１号,陸運業,
E04194,内国法人・組合,上場,有,1772,3月31日,カンダホールディングス株式会社,"Kanda Holdings Co.,Ltd",カンダホールディングスカブシキガイシャ,千代田区東神田三丁目１番１３号,陸運業,90590
E04195,内国法人・組合,上場,有,2420,3月31日,岡山県貨物運送株式会社,"Okayamaken Freight Transportation Co.,Ltd",オカヤマケンカモツウンソウカブシキガイシャ,岡山市北区清心町４番３１号,陸運業,90630
E04196,内国法人・組合,非上場,有,4160,3月31日,立山黒部貫光株式会社,,タテヤマクロベカンコウカブシキガイシャ,富山市桜町一丁目１番３６号,陸運業,
E04197,内国法人・組合,上場,有,160,3月31日,京極運輸商事株式会社,"Kyogoku unyu shoji Co., Ltd.",キョウゴクウンユショウジカブシキガイシャ,中央区日本橋浜町一丁目２番１号,陸運業,90730
E04198,内国法人・組合,上場,有,42481,3月31日,セイノーホールディングス株式会社,"SEINO HOLDINGS CO.,LTD.",セイノーホールディングスカブシキガイシャ,大垣市田口町１番地,陸運業,90760
E04199,内国法人・組合,上場,有,1938,3月31日,株式会社エスライン,"S LINE  CO.,LTD.",カブシキガイシャエスライン,羽島郡岐南町平成４丁目６８番地,陸運業,90780
E04206,内国法人・組合,上場,有,3145,3月31日,日本ロジテム株式会社,JAPAN LOGISTIC SYSTEMS CORP.,ニホンロジテムカブシキガイシャ,品川区荏原１－１９－１７,陸運業,90600
E04209,内国法人・組合,上場,有,1284,3月31日,遠州トラック株式会社,"ENSHU TRUCK CO.,LTD.",エンシュウトラックカブシキガイシャ,袋井市木原６２７番地の３,陸運業,90570
E04210,内国法人・組合,非上場,有,1217, 3月末日,株式会社ヒューテックノオリン,"Hutech norin Co.,Ltd.",カブシキガイシャヒューテックノオリン,新宿区若松町３３番８号,陸運業,90560
E04211,内国法人・組合,上場,有,2349,3月31日,株式会社アルプス物流,"ALPS LOGISTICS CO.,LTD.",カブシキガイシャアルプスブツリュウ,横浜市港北区新羽町１７５６,陸運業,90550
E04215,内国法人・組合,上場,有,1262,3月31日,センコン物流株式会社,"SENKON LOGISTICS CO., LTD.",センコンブツリュウカブシキガイシャ,名取市下余田字中荷６７２番地の１,陸運業,90510
E04216,内国法人・組合,非上場,有,2176,3月31日,名糖運輸株式会社,"MEITO TRANSPORTATION CO.,LTD.",メイトウウンユ　カブシキガイシャ,新宿区若松町３３番８号,陸運業,90470
E04217,内国法人・組合,上場,無,1140,3月20日,大宝運輸株式会社,"Taiho Transportation Co., Ltd",タイホウウンユカブシキガイシャ,名古屋市中区金山五丁目３番１７号,陸運業,90400
E04218,内国法人・組合,上場,無,3750,3月31日,株式会社サカイ引越センター,"Sakai Moving Service Co.,Ltd.",カブシキガイシャサカイヒッコシセンター,堺市堺区石津北町５６番地,陸運業,90390
E04220,内国法人・組合,上場,有,6547,3月31日,株式会社ハマキョウレックス,"HAMAKYOREX CO.,LTD.",カブシキガイシャ　ハマキョウレックス,浜松市南区寺脇町１７０１番地の１,陸運業,90370
E04221,内国法人・組合,上場,無,553,3月31日,東部ネットワーク株式会社,"TOHBU NETWORK CO.,LTD.",トウブネットワークカブシキガイシャ,横浜市神奈川区栄町２番地の９,陸運業,90360
E04222,内国法人・組合,上場,有,2027,3月31日,第一交通産業株式会社,"DAIICHI KOUTSU SANGYO Co.,Ltd.",ダイイチコウツウサンギョウカブシキガイシャ,北九州市小倉北区馬借二丁目６番８号,陸運業,90350
E04223,内国法人・組合,上場,有,538,3月31日,南総通運株式会社,"NANSO Transport Co., Ltd.",ナンソウツウンカブシキガイシャ,東金市東金５８２番地,陸運業,90340
E04224,内国法人・組合,上場,有,3920,12月31日,ＳＢＳホールディングス株式会社,"SBS Holdings, Inc.",エスビーエスホールディングスカブシキガイシャ,墨田区太平四丁目１番３号,陸運業,23840
E04228,内国法人・組合,上場,無,927,3月31日,株式会社ヒガシトゥエンティワン,"HIGASHI TWENTY ONE CO.,LTD.",カブシキガイシヤヒガシトウエンテイワン,大阪市中央区内久宝寺町三丁目１番９号,陸運業,90290
E04230,内国法人・組合,上場,有,3390,6月30日,株式会社ゼロ,"ZERO CO.,LTD.",カブシキガイシャゼロ,川崎市幸区堀川町５８０番地ソリッドスクエア西館６階,陸運業,90280
E04232,内国法人・組合,上場,有,1000,3月31日,株式会社ロジネットジャパン,"LOGINET JAPAN CO.,LTD.",カブシキガイシャロジネットジャパン,札幌市中央区大通西八丁目２番地６,陸運業,90270
E04319,内国法人・組合,上場,有,70175,3月31日,日本通運株式会社,"NIPPON EXPRESS CO., LTD.",ニッポンツウウンカブシキガイシャ,港区東新橋一丁目９番３号,陸運業,90620
E04324,内国法人・組合,上場,有,28619,3月31日,山九株式会社,SANKYU INC.,サンキュウカブシキガイシャ,北九州市門司区港町６番７号,陸運業,90650
E04327,内国法人・組合,上場,有,1661,3月31日,日本石油輸送株式会社,"Japan Oil Transportation Co., Ltd.",ニホンセキユユソウカブシキガイシャ,品川区大崎一丁目１１番１号,陸運業,90740
E04334,内国法人・組合,上場,有,30310,3月31日,福山通運株式会社,"FUKUYAMA TRANSPORTING CO., LTD.",フクヤマツウウンカブシキガイシャ,福山市東深津町四丁目２０番１号,陸運業,90750
E04341,内国法人・組合,上場,有,1710,3月31日,鴻池運輸株式会社,"Konoike Transport Co.,Ltd.",コウノイケウンユカブシキガイシャ,大阪市中央区伏見町四丁目３番９号,陸運業,90250
E04354,内国法人・組合,上場,有,2133,3月31日,タカセ株式会社,TAKASE CORPORATION,タカセカブシキガイシャ,港区新橋一丁目１０番９号,陸運業,90870
E15690,内国法人・組合,非上場,有,500,3月31日,アルピコホールディングス株式会社,,アルピコホールディングスカブシキガイシャ,松本市井川城二丁目１番１号,陸運業,
E26705,内国法人・組合,非上場,有,2000,3月31日,ディー・ティー・ホールディングス株式会社,"DT Holdings, inc.",ディーティーホールディングス,山形市諏訪町二丁目１番２０号,陸運業,
E30443,内国法人・組合,上場,有,2650, 3月末日,株式会社丸和運輸機関,"MARUWA UNYU KIKAN CO.,LTD.",カブシキガイシャマルワウンユキカン,吉川市旭７番地１,陸運業,90900
E31635,内国法人・組合,上場,有,4000, 3月末日,株式会社Ｃ＆Ｆロジホールディングス,"Chilled & Frozen Logistics Holdings Co.,Ltd.",カブシキガイシャシーアンドエフロジホールディングス,新宿区若松町３３番８号,陸運業,90990
E32679,内国法人・組合,上場,有,16000,3月31日,九州旅客鉄道株式会社,Kyushu Railway Company,キュウシュウリョカクテツドウカブシキカイシャ,福岡市博多区博多駅前三丁目２５番２１号,陸運業,91420
E00540,内国法人・組合,上場,有,8400,3月31日,トヨタ紡織株式会社,TOYOTA BOSHOKU CORPORATION,トヨタボウショクカブシキガイシャ,刈谷市豊田町１丁目１番地,輸送用機器,31160
E01104,内国法人・組合,非上場,有,5654,3月31日,鬼怒川ゴム工業株式会社,"KINUGAWA RUBBER INDUSTRIAL CO.,LTD.",キヌガワゴムコウギョウカブシキガイシャ,千葉市稲毛区長沼町３３０番地,輸送用機器,51960
E01108,内国法人・組合,上場,有,28027,3月31日,豊田合成株式会社,"TOYODA GOSEI CO.,LTD.",トヨダゴウセイカブシキガイシャ,清須市春日長畑１番地,輸送用機器,72820
E01230,内国法人・組合,上場,有,20983,3月31日,トピー工業株式会社,"TOPY INDUSTRIES,LIMITED",トピーコウギョウカブシキガイシャ,品川区大崎一丁目２番２号,輸送用機器,72310
E01290,内国法人・組合,上場,有,1093,3月31日,尾張精機株式会社,"OWARI PRECISE PRODUCTS CO.,LTD.",オワリセイキカブシキガイシャ,名古屋市東区矢田三丁目１６番８５号,輸送用機器,72490
E01471,内国法人・組合,上場,無,800,3月31日,阪神内燃機工業株式会社,"THE HANSHIN DIESEL WORKS, LTD",ハンシンナイネンキコウギョウカブシキガイシャ,神戸市中央区海岸通８番地神港ビル,輸送用機器,60180
E01474,内国法人・組合,上場,無,2215,3月31日,株式会社ジャパンエンジンコーポレーション,Japan Engine Corporation,カブシキガイシャジャパンエンジンコーポレーション,明石市二見町南二見１番地,輸送用機器,60160
E01477,内国法人・組合,上場,有,2434,3月31日,ダイハツディーゼル株式会社,"DAIHATSU DIESEL MFG.CO.,LTD.",ダイハツディーゼルカブシキガイシャ,大阪市北区大淀中一丁目１番３０号,輸送用機器,60230
E01514,内国法人・組合,上場,有,80462,3月31日,株式会社豊田自動織機,TOYOTA INDUSTRIES CORPORATION,カブシキガイシャトヨタジドウショッキ,刈谷市豊田町２丁目１番地,輸送用機器,62010
E01593,内国法人・組合,上場,有,45049,3月31日,アイシン精機株式会社,"AISIN SEIKI CO., LTD.",アイシンセイキカブシキガイシャ,刈谷市朝日町２丁目１番地,輸送用機器,72590
E01644,内国法人・組合,上場,有,200,3月31日,株式会社　桜井製作所,SAKURAI LTD.,カブシキガイシャ　サクライセイサクショ,浜松市東区半田町７２０番地,輸送用機器,72550
E01653,内国法人・組合,上場,有,4746,3月31日,株式会社モリタホールディングス,MORITA HOLDINGS CORPORATION,カブシキガイシャモリタホールディングス,大阪市中央区道修町三丁目６番１号,輸送用機器,64550
E01753,内国法人・組合,上場,有,3481,3月31日,三櫻工業株式会社,"Sanoh Industrial Co.,Ltd.",サンオウコウギョウカブシキガイシャ,渋谷区恵比寿一丁目２３番２３号,輸送用機器,65840
E01892,内国法人・組合,上場,有,187457,3月31日,株式会社デンソー,DENSO CORPORATION,カブシキガイシャデンソー,刈谷市昭和町１丁目１番地,輸送用機器,69020
E01898,内国法人・組合,上場,有,22856,3月31日,株式会社東海理化電機製作所,"TOKAI RIKA CO.,LTD.",カブシキガイシャトウカイリカデンキセイサクショ,丹羽郡大口町豊田三丁目２６０番地,輸送用機器,69950
E01916,内国法人・組合,上場,無,658,3月31日,株式会社リード,"The Lead Co., Inc.",カブシキガイシャリード,熊谷市弥藤吾５７８番地,輸送用機器,69820
E02105,内国法人・組合,上場,有,735,3月31日,レシップホールディングス株式会社,LECIP HOLDINGS CORPORATION,レシップホールディングスカブシキガイシャ,本巣市上保１２６０番地の２,輸送用機器,72130
E02123,内国法人・組合,上場,有,44384,3月31日,三井造船株式会社,"Mitsui Engineering Shipbuilding Co., Ltd.",ミツイゾウセンカブシキガイシャ,中央区築地五丁目６番４号,輸送用機器,70030
E02125,内国法人・組合,非上場,有,8414,3月31日,佐世保重工業株式会社,"Sasebo Heavy Industries Company, Limited",サセボジュウコウギョウカブシキガイシャ,佐世保市立神町１番地,輸送用機器,70070
E02127,内国法人・組合,上場,有,104484,3月31日,川崎重工業株式会社,"Kawasaki Heavy Industries,Ltd.",カワサキジュウコウギョウカブシキガイシャ,神戸市中央区東川崎町３丁目１番１号,輸送用機器,70120
E02129,内国法人・組合,上場,有,8108,3月31日,株式会社名村造船所,"Namura Shipbuilding Co.,Ltd.",カブシキガイシャナムラゾウセンショ,大阪市西区立売堀二丁目１番９号,輸送用機器,70140
E02131,内国法人・組合,上場,有,1200,3月31日,内海造船株式会社,Naikai  Zosen  Corporation,ナイカイ　ゾウセン　カブシキガイシャ,尾道市瀬戸田町沢２２６番地の６,輸送用機器,70180
E02134,内国法人・組合,上場,有,11810,3月31日,日本車輌製造株式会社,"NIPPON SHARYO, LTD.",ニッポンシャリョウセイゾウカブシキガイシャ,名古屋市熱田区三本松町１番１号,輸送用機器,71020
